Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
07.07.2026;07.07.2026;-105,71;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260707390000000381
27.06.2026;27.06.2026;+103,98;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260627390000000366
11.05.2026;11.05.2026;-122,57;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260511390000000337
20.04.2026;20.04.2026;-110,45;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260420390000000306
12.04.2026;12.04.2026;+24,05;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260412390000000308
22.03.2026;22.03.2026;+129,35;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260322390000000278
10.02.2026;10.02.2026;-76,75;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260210390000000249
01.01.2026;01.01.2026;+51,39;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20260101390000000222
24.12.2025;24.12.2025;-137,77;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20251224390000000190
08.12.2025;08.12.2025;-41,59;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20251208390000000188
24.11.2025;24.11.2025;+29,94;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20251124390000000154
16.11.2025;16.11.2025;-64,24;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20251116390000000156
17.10.2025;17.10.2025;+69,57;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20251017390000000121
17.09.2025;17.09.2025;+67,34;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20250917390000000088
08.09.2025;08.09.2025;+49,41;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20250908390000000086
12.08.2025;12.08.2025;-68,49;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20250812390000000058
27.07.2025;27.07.2025;-81,27;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20250727390000000028
10.07.2025;10.07.2025;+54,72;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 1111 43;SBAN FI HH;-;'-';20250710390000000030
