Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
29.06.2025;28.06.2025;-6,47;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 250628226923';20250628390000000399
28.06.2025;28.06.2025;-63,52;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *STEAM GAMES;-;-;-;'431871******3110 250628238386';20250628390000000411
28.06.2025;28.06.2025;-4,04;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250628541121';20250628390000000395
28.06.2025;28.06.2025;+2871,15;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 6/2025';20250628390000000382
25.06.2025;23.06.2025;-18,00;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 250623724092';20250623390000000404
23.06.2025;21.06.2025;-18,50;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 250621318075';20250621390000000406
23.06.2025;21.06.2025;-11,25;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 250621478073';20250621390000000401
22.06.2025;21.06.2025;-2,00;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250621624803';20250621390000000409
20.06.2025;20.06.2025;-17,80;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 250620932832';20250620390000000402
19.06.2025;18.06.2025;-3,66;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250618299637';20250618390000000410
19.06.2025;17.06.2025;-5,12;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250617489838';20250617390000000394
18.06.2025;18.06.2025;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 250618404126';20250618390000000388
18.06.2025;17.06.2025;-39,89;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 250617581592';20250617390000000396
17.06.2025;16.06.2025;-7,43;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 250616163612';20250616390000000408
17.06.2025;15.06.2025;-15,67;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 250615758564';20250615390000000405
15.06.2025;15.06.2025;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PW0YOE;-;-;-;'431871******3110 250615260344';20250615390000000387
