Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
28.06.2026;28.06.2026;+2788,25;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 6/2026';20260628390000000324
27.06.2026;26.06.2026;-18,19;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 260626196508';20260626390000000342
25.06.2026;24.06.2026;-22,54;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260624315161';20260624390000000335
24.06.2026;24.06.2026;-28,62;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260624451330';20260624390000000334
23.06.2026;22.06.2026;-28,73;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260622613027';20260622390000000333
22.06.2026;21.06.2026;-7,19;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260621867012';20260621390000000332
22.06.2026;20.06.2026;-15,08;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 260620164579';20260620390000000348
21.06.2026;21.06.2026;+19,04;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Ville K';20260621390000000349
20.06.2026;19.06.2026;-19,81;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260619981570';20260619390000000331
19.06.2026;17.06.2026;-7,14;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260617239439';20260617390000000346
19.06.2026;17.06.2026;-12,25;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260617190628';20260617390000000337
18.06.2026;18.06.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260618735821';20260618390000000330
18.06.2026;17.06.2026;-3,74;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260617477007';20260617390000000344
16.06.2026;16.06.2026;-9,66;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 260616575197';20260616390000000340
16.06.2026;15.06.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PYY11F;-;-;-;'431871******3110 260615579910';20260615390000000329
13.06.2026;13.06.2026;+29,94;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260613390000000352
12.06.2026;12.06.2026;-84,46;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260612390000000350
11.06.2026;11.06.2026;-31,00;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260611314941';20260611390000000336
10.06.2026;09.06.2026;-42,95;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *STEAM GAMES;-;-;-;'431871******3110 260609578284';20260609390000000347
07.06.2026;07.06.2026;-24,60;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260607390000000326
07.06.2026;06.06.2026;-7,52;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260606427940';20260606390000000339
07.06.2026;05.06.2026;-22,62;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 260605964457';20260605390000000343
05.06.2026;05.06.2026;-13,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 260605721512';20260605390000000341
05.06.2026;05.06.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260605390000000325
04.06.2026;03.06.2026;-3,82;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260603169792';20260603390000000345
03.06.2026;02.06.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260602252330';20260602390000000328
02.06.2026;02.06.2026;-27,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260602223938';20260602390000000338
02.06.2026;01.06.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260601701306';20260601390000000327
30.05.2026;28.05.2026;-4,82;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260528839491';20260528390000000301
28.05.2026;28.05.2026;+2838,91;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 5/2026';20260528390000000292
26.05.2026;25.05.2026;-3,46;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260525447055';20260525390000000315
26.05.2026;25.05.2026;-32,71;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260525384194';20260525390000000300
25.05.2026;25.05.2026;+126,14;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260525390000000320
25.05.2026;25.05.2026;+23,74;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Sanna P';20260525390000000319
24.05.2026;24.05.2026;+133,12;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260524390000000322
24.05.2026;23.05.2026;-5,67;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260523270381';20260523390000000317
22.05.2026;22.05.2026;-32,76;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260522501592';20260522390000000304
18.05.2026;18.05.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260518997473';20260518390000000298
15.05.2026;15.05.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PPW455;-;-;-;'431871******3110 260515147825';20260515390000000297
14.05.2026;12.05.2026;-5,41;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260512783326';20260512390000000316
13.05.2026;13.05.2026;-6,50;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260513119682';20260513390000000314
13.05.2026;12.05.2026;-39,29;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260512503115';20260512390000000308
11.05.2026;09.05.2026;-20,55;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260509955261';20260509390000000312
11.05.2026;09.05.2026;-21,73;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260509733518';20260509390000000303
09.05.2026;07.05.2026;-37,43;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260507561428';20260507390000000309
08.05.2026;08.05.2026;-18,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260508348973';20260508390000000302
08.05.2026;07.05.2026;-11,31;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 260507465601';20260507390000000311
08.05.2026;06.05.2026;-4,46;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260506275348';20260506390000000313
07.05.2026;07.05.2026;-30,14;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260507390000000294
07.05.2026;05.05.2026;-15,17;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260505499863';20260505390000000310
07.05.2026;05.05.2026;-33,55;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260505373542';20260505390000000306
06.05.2026;04.05.2026;-6,28;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260504398549';20260504390000000307
06.05.2026;04.05.2026;-20,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260504752635';20260504390000000299
05.05.2026;05.05.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260505390000000293
05.05.2026;03.05.2026;-11,12;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 260503831184';20260503390000000318
02.05.2026;02.05.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260502879473';20260502390000000296
