Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
14.07.2026;12.07.2026;-24,51;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 260712654745';20260712390000000363
11.07.2026;09.07.2026;-9,79;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260709893946';20260709390000000362
08.07.2026;08.07.2026;+3,66;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Sanna P';20260708390000000367
08.07.2026;08.07.2026;-3,43;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260708313785';20260708390000000364
08.07.2026;07.07.2026;-25,69;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260707686242';20260707390000000360
07.07.2026;07.07.2026;-8,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *CDON;-;-;-;'431871******3110 260707139299';20260707390000000366
07.07.2026;07.07.2026;-6,71;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260707331362';20260707390000000365
07.07.2026;07.07.2026;-26,33;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260707564180';20260707390000000358
07.07.2026;07.07.2026;-16,94;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260707390000000355
05.07.2026;05.07.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260705390000000354
04.07.2026;04.07.2026;-33,26;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260704968175';20260704390000000361
03.07.2026;03.07.2026;-36,26;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260703522530';20260703390000000359
03.07.2026;02.07.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260702443783';20260702390000000357
01.07.2026;01.07.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260701751623';20260701390000000356
28.06.2026;28.06.2026;+2788,25;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 6/2026';20260628390000000324
27.06.2026;26.06.2026;-18,19;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 260626196508';20260626390000000342
25.06.2026;24.06.2026;-22,54;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260624315161';20260624390000000335
24.06.2026;24.06.2026;-28,62;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260624451330';20260624390000000334
